安徽频道,#genre#
CCTV4 中文国际,http://27.10.76.34:8001/rtp/225.0.4.176:7980
CCTV4 中文国际,http://27.11.247.37:66/rtp/225.0.4.176:7980
CCTV4 中文国际,http://27.11.104.61:8003/rtp/225.0.4.176:7980
CCTV4 中文国际,http://27.11.56.206:8010/rtp/225.0.4.176:7980
CCTV4 中文国际,http://27.10.76.34:8004/rtp/225.0.4.176:7980
CCTV4 中文国际,http://27.11.52.62:8005/rtp/225.0.4.176:7980
CCTV5 体育,http://27.11.52.62:8002/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.11.104.61:8005/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.11.104.61:8004/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.11.55.179:8003/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.11.49.234:8004/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.11.255.145:8003/rtp/225.0.4.143:7980$1920x1080
CCTV5 体育,http://27.10.78.25:8010/rtp/225.0.4.143:7980
CCTV5 体育,http://27.11.55.179:8005/rtp/225.0.4.143:7980
CCTV5 体育,http://211.158.152.202:8005/rtp/225.0.4.143:7980
CCTV5 体育,http://27.10.76.34:8001/rtp/225.0.4.143:7980
CCTV5 体育,http://27.11.247.37:66/rtp/225.0.4.143:7980
CCTV5 体育,http://27.11.104.61:8003/rtp/225.0.4.143:7980
CCTV5 体育,http://27.11.56.206:8010/rtp/225.0.4.143:7980
CCTV5 体育,http://27.10.76.34:8004/rtp/225.0.4.143:7980
CCTV5 体育,http://27.11.52.62:8005/rtp/225.0.4.143:7980
CCTV5+ 体育赛事,http://27.11.104.61:8004/rtp/225.0.4.73:7980$1920x1080
CCTV5+ 体育赛事,http://27.11.104.61:8005/rtp/225.0.4.73:7980$1920x1080
CCTV5+ 体育赛事,http://27.11.55.179:8003/rtp/225.0.4.73:7980$1920x1080
CCTV5+ 体育赛事,http://27.11.255.145:8003/rtp/225.0.4.73:7980$1920x1080
CCTV5+ 体育赛事,http://27.10.78.25:8010/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.55.179:8005/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://211.158.152.202:8005/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.10.76.34:8001/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.247.37:66/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.104.61:8003/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.56.206:8010/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.10.76.34:8004/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.52.62:8005/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.11.49.234:8003/rtp/225.0.4.73:7980
CCTV5+ 体育赛事,http://27.10.211.143:8005/rtp/225.0.4.73:7980
